Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Jacob Misiorowski (43320668),Jacob Misiorowski,43320668,P,12500,MIL@ATL 06/19/2026 07:15PM ET,MIL,30.44
SP,Tyler Glasnow (43321268),Tyler Glasnow,43321268,P,11800,BAL@LAD 06/19/2026 10:10PM ET,LAD,22.21
SP,Chris Sale (43320669),Chris Sale,43320669,P,11200,MIL@ATL 06/19/2026 07:15PM ET,ATL,22.94
SP,Yoshinobu Yamamoto (43321269),Yoshinobu Yamamoto,43321269,P,11200,BAL@LAD 06/19/2026 10:10PM ET,LAD,22.14
SP,Chase Burns (43321270),Chase Burns,43321270,P,10600,CIN@NYY 06/19/2026 07:05PM ET,CIN,22.74
RP,Kyle Harrison (43321271),Kyle Harrison,43321271,P,10500,MIL@ATL 06/19/2026 07:15PM ET,MIL,19.86
SP,Hunter Brown (43321272),Hunter Brown,43321272,P,10400,CLE@HOU 06/19/2026 08:10PM ET,HOU,24.85
SP,Cam Schlittler (43320670),Cam Schlittler,43320670,P,10400,CIN@NYY 06/19/2026 07:05PM ET,NYY,22.34
SP,Jacob deGrom (43320671),Jacob deGrom,43320671,P,10000,SD@TEX 06/19/2026 08:05PM ET,TEX,19.35
SP,Spencer Arrighetti (43321274),Spencer Arrighetti,43321274,P,10000,CLE@HOU 06/19/2026 08:10PM ET,HOU,18.32
SP,Logan Gilbert (43321273),Logan Gilbert,43321273,P,10000,BOS@SEA 06/19/2026 10:10PM ET,SEA,18.44
SP,Garrett Crochet (43321275),Garrett Crochet,43321275,P,9900,BOS@SEA 06/19/2026 10:10PM ET,BOS,13.78
SP,Jose Soriano (43321277),Jose Soriano,43321277,P,9800,LAA@ATH 06/19/2026 09:40PM ET,LAA,19.45
SP,Spencer Schwellenbach (43321278),Spencer Schwellenbach,43321278,P,9800,MIL@ATL 06/19/2026 07:15PM ET,ATL,0
SP,Gerrit Cole (43321276),Gerrit Cole,43321276,P,9800,CIN@NYY 06/19/2026 07:05PM ET,NYY,17.12
