date,player,team,salary,batting_order,blended_rating,actual_dk_pts,baseline_dk_pts,pts_diff
2026-06-27,Junior Caminero,Tampa Bay Rays,5800,3,105.2,13.5,10.57,2.93
2026-06-27,Pete Alonso,Baltimore Orioles,5500,3,98.7,10.0,13.25,-3.25
2026-06-27,James Wood,Washington Nationals,5900,1,86.1,0.5,9.7,-9.2
2026-06-27,Cj Abrams,Washington Nationals,5500,4,93.8,0.5,14.86,-14.36
2026-06-27,Mookie Betts,Los Angeles Dodgers,3000,4,86.1,17.5,5.61,11.89
2026-06-27,Freddie Freeman,Los Angeles Dodgers,3000,3,90.6,17.0,6.86,10.14
2026-06-27,Mickey Moniak,Colorado Rockies,4400,2,63.5,2.0,9.15,-7.15
2026-06-27,Jonathan Aranda,Tampa Bay Rays,4200,2,89.0,20.0,8.6,11.4
2026-06-27,Yandy Diaz,Tampa Bay Rays,5200,1,86.2,6.5,7.21,-0.71
2026-06-27,Jake Mccarthy,Colorado Rockies,3900,1,88.7,20.0,10.94,9.06
2026-06-27,Tj Rumfield,Colorado Rockies,4100,4,86.4,10.0,7.64,2.36
2026-06-27,Gunnar Henderson,Baltimore Orioles,5000,2,87.2,2.0,11.8,-9.8
2026-06-27,Taylor Ward,Baltimore Orioles,4500,1,87.2,1.0,9.88,-8.88
2026-06-27,Blaze Alexander,Baltimore Orioles,2900,6,82.7,2.5,5.12,-2.62
2026-06-27,Kyle Karros,Colorado Rockies,2500,8,71.9,17.5,2.11,15.39
2026-06-27,Troy Johnston,Colorado Rockies,4500,7,69.4,0.0,9.25,-9.25
2026-06-27,Hunter Goodman,Colorado Rockies,5200,3,52.8,45.5,6.89,38.61
2026-06-27,Victor Mesa,Tampa Bay Rays,2900,4,61.6,10.0,6.24,3.76
2026-06-27,Willi Castro,Colorado Rockies,4200,5,54.2,-0.5,6.9,-7.4
2026-06-27,Tyler Freeman,Colorado Rockies,3800,6,53.4,8.0,5.53,2.47
2026-06-27,Dylan Crews,Washington Nationals,3600,5,54.9,3.0,4.33,-1.33
2026-06-27,Leody Taveras,Baltimore Orioles,3300,7,58.0,-1.0,5.95,-6.95
2026-06-27,Andy Pages,Los Angeles Dodgers,3000,2,49.2,18.0,4.37,13.63
2026-06-27,Daylen Lile,Washington Nationals,4100,6,48.8,11.5,5.94,5.56
2026-06-27,Denzer Guzman,Los Angeles Angels,3000,2,66.7,10.0,4.67,5.33
2026-06-27,Jo Adell,Los Angeles Angels,3000,6,49.4,23.0,4.31,18.69
2026-06-27,Chandler Simpson,Tampa Bay Rays,3800,5,51.6,2.5,6.08,-3.58
2026-06-27,Nasim Nunez,Washington Nationals,3400,8,50.8,6.5,3.7,2.8
2026-06-27,Coby Mayo,Baltimore Orioles,3300,4,60.3,1.0,6.04,-5.04
2026-06-27,Jeremiah Jackson,Baltimore Orioles,3100,8,47.7,5.0,4.03,0.97
2026-06-27,Nolan Schanuel,Los Angeles Angels,3000,3,66.1,7.0,7.32,-0.32
2026-06-27,Donovan Walton,Los Angeles Angels,3000,7,58.1,-1.0,5.12,-6.12
2026-06-27,Zach Neto,Los Angeles Angels,3000,1,63.0,-0.5,5.0,-5.5
2026-06-27,Taylor Walls,Tampa Bay Rays,2900,7,46.6,2.5,5.12,-2.62
2026-06-27,Tommy Edman,Los Angeles Dodgers,3000,6,47.3,23.0,4.31,18.69
2026-06-27,Cedric Mullins,Tampa Bay Rays,3200,6,41.8,4.5,5.62,-1.12
2026-06-27,Richie Palacios,Tampa Bay Rays,3500,8,36.6,2.0,4.31,-2.31
2026-06-27,Wade Meckler,Los Angeles Angels,3000,5,53.9,-1.5,6.78,-8.28
2026-06-27,Jose Tena,Washington Nationals,2700,3,51.7,4.5,8.05,-3.55
2026-06-27,Dalton Rushing,Los Angeles Dodgers,3000,8,28.5,15.5,3.55,11.95
2026-06-27,Drew Millas,Washington Nationals,3000,9,35.8,7.5,3.47,4.03
2026-06-27,Kyle Tucker,Los Angeles Dodgers,3000,7,29.5,25.0,4.35,20.65
2026-06-27,Jorge Soler,Los Angeles Angels,3000,4,45.0,7.0,6.07,0.93
2026-06-27,Tyler Oneill,Baltimore Orioles,2700,5,47.1,-0.5,7.42,-7.92
2026-06-27,Alex Freeland,Los Angeles Dodgers,3000,9,28.0,3.5,3.69,-0.19
2026-06-27,Josh Lowe,Los Angeles Angels,3000,9,38.5,10.0,3.33,6.67
2026-06-27,Logan Ohoppe,Los Angeles Angels,3000,8,45.0,5.0,3.88,1.12
2026-06-27,Hunter Feduccia,Tampa Bay Rays,2200,9,27.8,-1.0,3.95,-4.95
2026-07-01,Bobby Witt,Kansas City Royals,6200,2,95.2,3.0,5.75,-2.75
2026-07-01,Jac Caglianone,Kansas City Royals,4800,3,77.4,6.0,7.9,-1.9
2026-07-01,Hunter Goodman,Colorado Rockies,5200,3,62.4,15.5,7.38,8.12
2026-07-01,Kyle Karros,Colorado Rockies,2500,8,66.2,15.5,2.42,13.08
2026-07-01,Troy Johnston,Colorado Rockies,4500,7,48.9,3.0,7.0,-4.0
2026-07-01,Tj Rumfield,Colorado Rockies,4100,4,54.9,-0.5,3.06,-3.56
2026-07-01,Mickey Moniak,Colorado Rockies,4400,2,36.4,33.0,4.06,28.94
2026-07-01,Ezequiel Tovar,Colorado Rockies,3900,9,37.9,2.0,0.0,2.0
2026-07-01,Starling Marte,Kansas City Royals,3100,4,49.4,3.0,8.42,-5.42
2026-07-01,Jake Mccarthy,Colorado Rockies,3900,1,54.8,-0.5,8.5,-9.0
2026-07-01,Tyler Freeman,Colorado Rockies,3800,6,47.7,3.0,5.64,-2.64
2026-07-01,Lane Thomas,Kansas City Royals,3400,1,39.2,-1.0,8.0,-9.0
