date,team,attack_conf,ITT,actual_runs,run_diff,burst_correct
2026-06-27,Milwaukee Brewers,82.0,4.5,2,-2.5,N
2026-06-27,Seattle Mariners,49.0,4.2,3,-1.2,N
2026-06-27,St. Louis Cardinals,82.0,4.7,1,-3.7,N
2026-06-27,Washington Nationals,60.0,4.5,4,-0.5,N
2026-06-27,Colorado Rockies,82.0,4.5,8,3.5,Y
2026-06-27,Miami Marlins,77.0,4.0,5,1.0,Y
2026-07-01,Milwaukee Brewers,95.0,5.1,4,-1.1,N
2026-07-01,Arizona Diamondbacks,75.0,5.0,4,-1.0,N
2026-07-01,Atlanta Braves,82.0,4.9,5,0.1,Y
2026-07-01,St. Louis Cardinals,82.0,4.3,1,-3.3,N
2026-07-02,Los Angeles Dodgers,97.0,5.95,12,6.05,Y
2026-07-02,San Diego Padres,95.0,3.8,7,3.2,Y
2026-07-03,Los Angeles Dodgers,97.0,5.0,4,-1.0,N
2026-07-03,Miami Marlins,80.0,5.2,12,6.8,Y
2026-07-03,New York Mets,96.0,4.5,3,-1.5,N
2026-07-03,New York Yankees,75.0,5.65,5,-0.65,N
2026-07-03,Baltimore Orioles,93.0,5.5,3,-2.5,N
2026-07-03,Cincinnati Reds,92.0,5.2,0,-5.2,N
2026-07-03,Milwaukee Brewers,76.0,5.1,7,1.9,Y
2026-07-04,Atlanta Braves,96.0,4.6,14,9.4,Y
2026-07-04,Baltimore Orioles,94.0,4.7,8,3.3,Y
2026-07-04,Milwaukee Brewers,97.0,5.3,3,-2.3,N
2026-07-04,Miami Marlins,75.0,5.5,7,1.5,Y
2026-07-04,St. Louis Cardinals,67.0,3.7,3,-0.7,N
2026-07-05,Los Angeles Dodgers,97.0,5.75,2,-3.75,N
2026-07-06,Los Angeles Dodgers,95.0,5.4,8,2.6,Y
2026-07-06,Arizona Diamondbacks,96.0,4.7,8,3.3,Y
2026-07-06,Atlanta Braves,95.0,4.8,6,1.2,Y
2026-07-06,New York Mets,82.0,4.4,7,2.6,Y
2026-07-07,Los Angeles Dodgers,96.0,5.8,3,-2.8,N
2026-07-07,Milwaukee Brewers,75.0,4.4,4,-0.4,N
2026-07-07,New York Mets,82.0,4.7,12,7.3,Y
2026-07-07,San Diego Padres,94.0,4.8,4,-0.8,N
2026-07-07,Arizona Diamondbacks,94.0,4.4,1,-3.4,N
2026-07-07,St. Louis Cardinals,82.0,3.8,3,-0.8,N
2026-07-08,Los Angeles Dodgers,96.0,5.85,4,-1.85,N
2026-07-08,Detroit Tigers,97.0,5.3,6,0.7,Y
2026-07-08,Milwaukee Brewers,82.0,4.4,1,-3.4,N
2026-07-08,New York Mets,94.0,5.3,6,0.7,Y
2026-07-08,Atlanta Braves,96.0,4.8,3,-1.8,N
2026-07-09,Milwaukee Brewers,97.0,4.5,8,3.5,Y
2026-07-09,Seattle Mariners,78.0,4.5,4,-0.5,N
2026-07-16,New York Mets,66.0,4.6,4,-0.6,N
2026-07-17,San Diego Padres,82.0,5.4,6,0.6,Y
2026-07-17,Milwaukee Brewers,80.0,4.5,2,-2.5,N
2026-07-17,New York Yankees,81.0,4.5,1,-3.5,N
2026-07-17,St. Louis Cardinals,82.0,4.7,5,0.3,Y
2026-07-18,Detroit Tigers,82.0,4.8,7,2.2,Y
2026-07-19,Cincinnati Reds,95.0,5.95,9,3.05,Y
2026-07-19,New York Mets,77.0,4.5,6,1.5,Y
2026-07-19,St. Louis Cardinals,81.0,4.5,7,2.5,Y
2026-07-19,Washington Nationals,75.0,5.65,5,-0.65,N
2026-07-19,Detroit Tigers,96.0,5.4,2,-3.4,N
2026-07-19,Arizona Diamondbacks,80.0,4.8,8,3.2,Y
2026-07-19,Miami Marlins,63.0,3.9,1,-2.9,N
2026-07-20,Detroit Tigers,93.0,5.55,8,2.45,Y
2026-07-20,Washington Nationals,97.0,5.8,7,1.2,Y
2026-07-20,Milwaukee Brewers,82.0,4.5,8,3.5,Y
2026-07-20,Seattle Mariners,79.0,4.1,8,3.9,Y
2026-07-20,Texas Rangers,75.0,4.3,3,-1.3,N
2026-07-21,Arizona Diamondbacks,97.0,5.4,6,0.6,Y
2026-07-21,Miami Marlins,75.0,4.6,3,-1.6,N
2026-07-21,San Diego Padres,75.0,4.2,8,3.8,Y
2026-07-21,New York Mets,95.0,4.0,4,0.0,Y
2026-07-21,Chicago Cubs,90.0,3.9,11,7.1,Y
2026-07-21,Detroit Tigers,82.0,3.8,2,-1.8,N
2026-07-22,Los Angeles Dodgers,93.0,5.0,9,4.0,Y
