date,team,attack_conf,ITT,dqi_tier,actual_runs,run_diff
2026-06-27,Philadelphia Phillies,92.0,4.3,CAUTION,2,-2.3
2026-06-27,St. Louis Cardinals,82.0,4.7,CAUTION,1,-3.7
2026-06-27,Arizona Diamondbacks,94.0,3.8,CAUTION,2,-1.8
2026-06-27,Atlanta Braves,69.0,3.6,CAUTION,0,-3.6
2026-07-03,Miami Marlins,80.0,5.2,CAUTION,12,6.8
2026-07-03,Tampa Bay Rays,94.0,4.6,CAUTION,3,-1.6
2026-07-04,Chicago Cubs,95.0,4.5,CAUTION,0,-4.5
2026-07-07,Chicago Cubs,80.0,5.0,CAUTION,5,0.0
2026-07-07,Texas Rangers,92.0,4.0,CAUTION,8,4.0
2026-07-07,San Diego Padres,94.0,4.8,CAUTION,4,-0.8
2026-07-08,Cleveland Guardians,67.0,4.1,CAUTION,5,0.9
2026-07-09,Arizona Diamondbacks,94.0,4.2,CAUTION,3,-1.2
2026-07-09,Colorado Rockies,77.0,4.3,CAUTION,2,-2.3
2026-07-17,Chicago Cubs,95.0,5.75,OVERPRICED,2,-3.75
2026-07-17,Washington Nationals,95.0,5.6,OVERPRICED,23,17.4
2026-07-17,Houston Astros,75.0,4.4,CAUTION,2,-2.4
2026-07-17,Detroit Tigers,67.0,4.4,LEVERAGE,2,-2.4
2026-07-18,Washington Nationals,95.0,5.6,CAUTION,1,-4.6
2026-07-18,Detroit Tigers,82.0,4.8,CAUTION,7,2.2
2026-07-19,Los Angeles Dodgers,53.0,3.9,CAUTION,8,4.1
2026-07-19,San Diego Padres,77.0,4.6,CAUTION,19,14.4
2026-07-19,Houston Astros,59.0,4.5,CAUTION,2,-2.5
2026-07-19,Miami Marlins,63.0,3.9,CAUTION,1,-2.9
2026-07-19,Tampa Bay Rays,37.0,4.0,CAUTION,1,-3.0
2026-07-19,Atlanta Braves,70.0,4.2,CAUTION,8,3.8
2026-07-19,Minnesota Twins,41.0,3.48,LEVERAGE,1,-2.48
2026-07-20,Detroit Tigers,93.0,5.55,CAUTION,8,2.45
2026-07-20,St. Louis Cardinals,95.0,4.5,OVERPRICED,2,-2.5
2026-07-20,Chicago White Sox,87.0,3.48,CAUTION,10,6.52
2026-07-20,Kansas City Royals,83.0,5.1,CAUTION,4,-1.1
2026-07-20,Cincinnati Reds,63.0,3.5,CAUTION,0,-3.5
2026-07-20,Miami Marlins,92.0,4.3,OVERPRICED,5,0.7
2026-07-21,Arizona Diamondbacks,97.0,5.4,OVERPRICED,6,0.6
2026-07-21,Miami Marlins,75.0,4.6,OVERPRICED,3,-1.6
2026-07-21,Washington Nationals,95.0,6.2,OVERPRICED,7,0.8
2026-07-21,Los Angeles Dodgers,72.0,4.3,CAUTION,2,-2.3
2026-07-21,Cincinnati Reds,87.0,3.8,CAUTION,4,0.2
2026-07-22,Miami Marlins,93.0,4.0,CAUTION,2,-2.0
2026-07-24,Chicago White Sox,94.0,5.0,CAUTION,5,0.0
2026-07-27,Los Angeles Angels,92.0,4.3,CAUTION,4,-0.3
2026-07-28,Minnesota Twins,87.0,5.1,CAUTION,3,-2.1
2026-07-28,Chicago White Sox,48.0,3.9,CAUTION,2,-1.9
2026-07-30,Miami Marlins,74.0,3.48,CAUTION,2,-1.48
2026-07-31,San Diego Padres,93.0,4.6,CAUTION,7,2.4
2026-07-31,Colorado Rockies,81.0,5.5,CAUTION,3,-2.5
2026-07-31,Houston Astros,86.0,4.0,CAUTION,11,7.0
2026-08-01,Kansas City Royals,93.0,5.65,CAUTION,6,0.35
2026-08-02,Boston Red Sox,67.0,3.8,CAUTION,8,4.2
2026-08-03,Arizona Diamondbacks,95.0,4.6,OVERPRICED,5,0.4
2026-08-04,Arizona Diamondbacks,75.0,4.5,CAUTION,4,-0.5
2026-08-04,Los Angeles Dodgers,93.0,5.1,CAUTION,1,-4.1
2026-08-04,Minnesota Twins,91.0,5.3,CAUTION,2,-3.3
2026-08-04,Detroit Tigers,84.0,3.6,LEVERAGE,8,4.4
2026-08-06,San Diego Padres,67.0,4.6,CAUTION,5,0.4
2026-08-07,Cleveland Guardians,75.0,4.0,LEVERAGE,8,4.0
2026-08-07,Tampa Bay Rays,90.0,3.5,LEVERAGE,2,-1.5
2026-08-07,Atlanta Braves,52.0,3.7,LEVERAGE,2,-1.7
2026-08-08,Detroit Tigers,95.0,4.1,CAUTION,8,3.9
2026-08-08,Los Angeles Dodgers,81.0,4.9,OVERPRICED,2,-2.9
2026-08-08,Milwaukee Brewers,63.0,4.5,LEVERAGE,4,-0.5
2026-08-08,Houston Astros,95.0,4.1,CAUTION,2,-2.1
2026-08-08,Cleveland Guardians,91.0,3.7,CAUTION,3,-0.7
2026-08-08,Tampa Bay Rays,51.0,3.5,CAUTION,3,-0.5
2026-08-09,San Diego Padres,76.0,4.8,CAUTION,7,2.2
2026-08-10,Baltimore Orioles,96.0,4.4,CAUTION,5,0.6
2026-08-10,New York Mets,82.0,3.9,CAUTION,8,4.1
2026-08-10,St. Louis Cardinals,75.0,4.5,OVERPRICED,5,0.5
2026-08-10,Milwaukee Brewers,59.0,3.6,CAUTION,2,-1.6
2026-08-10,San Francisco Giants,61.0,3.9,LEVERAGE,3,-0.9
2026-08-11,Texas Rangers,96.0,4.9,OVERPRICED,2,-2.9
2026-08-12,Boston Red Sox,79.0,3.7,CAUTION,4,0.3
2026-08-12,Cincinnati Reds,66.0,4.0,LEVERAGE,0,-4.0
2026-08-14,San Diego Padres,81.0,3.48,CAUTION,7,3.52
2026-08-14,Washington Nationals,75.0,4.2,CAUTION,1,-3.2
2026-08-14,Los Angeles Angels,63.0,4.3,CAUTION,6,1.7
2026-08-14,Texas Rangers,70.0,4.9,CAUTION,3,-1.9
2026-08-15,San Diego Padres,96.0,4.0,CAUTION,1,-3.0
2026-08-15,Seattle Mariners,95.0,4.2,OVERPRICED,10,5.8
2026-08-15,Texas Rangers,91.0,5.1,CAUTION,5,-0.1
2026-08-15,Kansas City Royals,71.0,3.7,LEVERAGE,0,-3.7
2026-08-17,Arizona Diamondbacks,80.0,4.1,CAUTION,1,-3.1
2026-08-17,Chicago White Sox,80.0,3.6,CAUTION,5,1.4
2026-08-17,San Diego Padres,47.0,3.9,LEVERAGE,1,-2.9
2026-08-17,Athletics,48.0,4.1,LEVERAGE,5,0.9
2026-08-18,Chicago White Sox,89.0,4.0,CAUTION,3,-1.0
2026-08-18,Arizona Diamondbacks,74.0,3.48,CAUTION,4,0.52
2026-08-18,Washington Nationals,53.0,3.48,CAUTION,0,-3.48
2026-08-18,San Diego Padres,80.0,4.4,LEVERAGE,5,0.6
2026-08-19,Washington Nationals,54.0,3.6,CAUTION,6,2.4
2026-08-19,Los Angeles Angels,53.0,3.9,LEVERAGE,2,-1.9
2026-08-21,Chicago Cubs,85.0,4.1,CAUTION,5,0.9
2026-08-21,Minnesota Twins,73.0,3.8,CAUTION,2,-1.8
2026-08-21,Washington Nationals,33.0,3.5,LEVERAGE,2,-1.5
2026-08-21,Los Angeles Angels,39.0,3.5,LEVERAGE,1,-2.5
2026-08-22,Minnesota Twins,82.0,3.9,CAUTION,5,1.1
2026-08-22,Tampa Bay Rays,65.0,4.6,CAUTION,2,-2.6
2026-08-22,Chicago Cubs,90.0,4.0,CAUTION,4,0.0
2026-08-23,Atlanta Braves,82.0,4.0,CAUTION,4,0.0
2026-08-24,Chicago White Sox,92.0,4.3,CAUTION,2,-2.3
2026-08-24,Athletics,75.0,5.1,CAUTION,6,0.9
2026-08-25,Cincinnati Reds,75.0,3.8,CAUTION,1,-2.8
2026-08-25,Philadelphia Phillies,92.0,4.0,CAUTION,1,-3.0
2026-08-25,Arizona Diamondbacks,78.0,4.0,CAUTION,5,1.0
2026-08-25,Toronto Blue Jays,61.0,4.2,LEVERAGE,3,-1.2
2026-08-25,Chicago White Sox,33.0,3.8,LEVERAGE,11,7.2
