date,team,attack_conf,ITT,divergence,ticket_pct,money_pct,actual_runs,run_diff,fade_correct
2026-07-03,Athletics,93.0,5.55,-14.0,59.0,45.0,5,-0.55,Y
2026-07-17,Minnesota Twins,73.0,5.2,-14.0,27.0,13.0,5,-0.2,Y
2026-07-17,Athletics,39.0,5.0,-21.0,39.0,18.0,4,-1.0,Y
2026-07-18,Athletics,68.0,5.8,-19.0,42.0,23.0,15,9.2,N
2026-07-19,Kansas City Royals,65.0,5.1,-22.0,60.0,38.0,2,-3.1,Y
2026-07-20,Chicago Cubs,75.0,5.6,-43.0,63.0,20.0,6,0.4,N
2026-07-20,San Francisco Giants,79.0,5.1,-18.0,44.0,26.0,3,-2.1,Y
2026-07-21,Colorado Rockies,75.0,6.25,-15.0,28.0,13.0,8,1.75,N
2026-07-21,Houston Astros,96.0,5.1,-28.0,74.0,46.0,5,-0.1,Y
2026-07-31,Kansas City Royals,93.0,5.65,-22.0,56.0,34.0,1,-4.65,Y
2026-08-01,Colorado Rockies,75.0,5.75,-23.0,50.0,27.0,12,6.25,N
2026-08-17,Kansas City Royals,75.0,5.2,-11.0,78.0,67.0,9,3.8,N
2026-08-17,Boston Red Sox,76.0,5.1,-34.0,66.0,32.0,11,5.9,N
2026-08-18,Chicago Cubs,93.0,5.2,-17.0,88.0,71.0,4,-1.2,Y
