date,pitcher,pitcher_team,attack_conf,ITT,walks_penalty,is_hazard,actual_runs_against,run_diff,pitcher_actual_er,pitcher_actual_bb
2026-06-27,Yoshinobu Yamamoto,Los Angeles Dodgers,84.0,3.48,Y,N,3,-0.48,2,2
2026-06-27,Davis Martin,Chicago White Sox,74.0,0.0,Y,N,1,1.0,0,1
2026-06-27,Andre Pallante,St. Louis Cardinals,52.0,4.0,Y,N,5,1.0,5,1
2026-06-27,Reid Detmers,Los Angeles Angels,63.0,4.2,Y,N,2,-2.2,2,3
2026-06-27,Bryce Elder,Atlanta Braves,70.0,4.1,Y,N,5,0.9,5,1
2026-06-27,Slade Cecconi,Cleveland Guardians,57.0,4.2,N,Y,3,-1.2,0,2
2026-06-27,Foster Griffin,Washington Nationals,0.0,4.8,Y,Y,3,-1.8,0,2
2026-06-27,Jose Cabrera,Arizona Diamondbacks,48.0,4.9,Y,N,4,-0.9,4,2
2026-06-27,Cole Sulser,Tampa Bay Rays,0.0,3.8,N,Y,2,-1.8,1,0
2026-06-27,Jack Perkins,Athletics,34.0,4.5,Y,N,5,0.5,2,1
2026-06-27,Ryan Gusto,Miami Marlins,0.0,4.7,Y,Y,1,-3.7,0,1
2026-06-27,Michael Lorenzen,Colorado Rockies,0.0,5.2,Y,N,5,-0.2,2,0
2026-07-01,Shane Drohan,Milwaukee Brewers,77.0,4.1,Y,N,2,-2.1,2,1
2026-07-01,Paul Skenes,Pittsburgh Pirates,40.0,0.0,Y,N,10,10.0,7,2
2026-07-01,Max Meyer,Miami Marlins,64.0,5.0,Y,N,6,1.0,1,0
2026-07-01,Tatsuya Imai,Houston Astros,67.0,4.2,Y,N,8,3.8,5,5
2026-07-01,Zac Gallen,Arizona Diamondbacks,33.0,4.8,Y,N,6,1.2,6,1
2026-07-01,Andrew Abbott,Cincinnati Reds,31.0,5.1,Y,Y,4,-1.1,2,5
2026-07-01,Reynaldo López,Atlanta Braves,0.0,4.3,N,Y,1,-3.3,1,1
2026-07-01,Trevor Mcdonald,San Francisco Giants,0.0,5.0,Y,N,4,-1.0,0,0
2026-07-02,Walbert Ureña,Los Angeles Angels,0.0,4.2,N,Y,1,-3.2,1,4
2026-07-02,Roki Sasaki,Los Angeles Dodgers,23.0,3.8,Y,N,7,3.2,6,2
2026-07-02,Randy Vásquez,San Diego Padres,0.0,5.95,N,Y,12,6.05,4,1
2026-07-03,Dylan Cease,Toronto Blue Jays,62.0,3.5,Y,N,0,-3.5,0,1
2026-07-03,Reid Detmers,Los Angeles Angels,91.0,3.7,Y,N,5,1.3,5,3
2026-07-03,Spencer Arrighetti,Houston Astros,44.0,4.6,Y,N,3,-1.6,1,1
2026-07-03,Tyler Phillips,Miami Marlins,23.0,5.55,Y,N,5,-0.55,5,2
2026-07-03,Brady Singer,Cincinnati Reds,0.0,5.5,N,Y,3,-2.5,2,5
2026-07-03,Christian Scott,New York Mets,0.0,4.8,N,Y,5,0.2,3,4
2026-07-03,Grant Holmes,Atlanta Braves,11.0,4.5,Y,Y,3,-1.5,1,1
2026-07-03,Ryan Feltner,Colorado Rockies,36.0,6.0,Y,N,3,-3.0,2,0
2026-07-03,Michael King,San Diego Padres,0.0,5.0,Y,Y,4,-1.0,2,2
2026-07-04,Chris Sale,Atlanta Braves,32.0,3.6,N,Y,3,-0.6,3,2
2026-07-04,Hunter Brown,Houston Astros,89.0,3.6,Y,N,8,4.4,6,4
2026-07-04,Jesús Luzardo,Philadelphia Phillies,64.0,4.2,Y,N,1,-3.2,1,0
2026-07-04,Sean Burke,Chicago White Sox,61.0,4.1,Y,N,1,-3.1,1,0
2026-07-04,Sandy Alcantara,Miami Marlins,45.0,5.2,Y,N,2,-3.2,1,1
2026-07-04,Brandon Young,Baltimore Orioles,63.0,5.0,Y,N,5,0.0,4,3
2026-07-04,Robbie Ray,San Francisco Giants,54.0,5.8,Y,N,4,-1.8,3,3
2026-07-04,Hunter Greene,Cincinnati Reds,0.0,4.7,Y,Y,8,3.3,8,4
2026-07-04,Wandy Peralta,San Diego Padres,14.0,5.4,N,Y,3,-2.4,0,1
2026-07-04,Griffin Canning,San Diego Padres,0.0,5.4,N,Y,3,-2.4,0,1
2026-07-05,Jp Sears,San Diego Padres,0.0,5.75,Y,Y,2,-3.75,0,2
2026-07-06,Reynaldo López,Atlanta Braves,10.0,4.4,Y,Y,7,2.6,1,2
2026-07-06,Kevin Gausman,Toronto Blue Jays,68.0,3.8,Y,N,10,6.2,4,5
2026-07-06,Landen Roupp,San Francisco Giants,72.0,3.9,Y,N,1,-2.9,1,2
2026-07-06,Kyle Freeland,Colorado Rockies,0.0,5.4,N,Y,8,2.6,6,0
2026-07-06,Shane Drohan,Milwaukee Brewers,42.0,4.0,Y,N,3,-1.0,1,2
2026-07-06,Freddy Peralta,New York Mets,7.0,4.8,Y,N,6,1.2,1,1
2026-07-06,Walker Buehler,San Diego Padres,0.0,4.7,Y,N,8,3.3,7,1
2026-07-07,Paul Skenes,Pittsburgh Pirates,19.0,3.7,Y,N,4,0.3,2,1
2026-07-07,Matthew Boyd,Chicago Cubs,33.0,4.8,N,Y,2,-2.8,0,2
2026-07-07,Zack Wheeler,Philadelphia Phillies,13.0,4.1,N,Y,1,-3.1,1,0
2026-07-07,Taj Bradley,Minnesota Twins,85.0,4.2,Y,N,1,-3.2,1,0
2026-07-07,Andrew Alvarez,Washington Nationals,33.0,4.7,Y,N,6,1.3,5,5
2026-07-07,Robert Gasser,Milwaukee Brewers,16.0,3.8,N,Y,3,-0.8,3,0
2026-07-07,J.T. Ginn,Athletics,24.0,5.0,Y,N,6,1.0,2,2
2026-07-07,José Soriano,Los Angeles Angels,24.0,4.0,Y,N,8,4.0,2,2
2026-07-07,Noah Schultz,Chicago White Sox,60.0,4.5,Y,N,8,3.5,4,3
2026-07-07,Shane Baz,Baltimore Orioles,0.0,5.0,Y,N,5,0.0,3,3
