date,game,teamA,teamA_conf,teamA_actual_runs,teamB,teamB_conf,teamB_actual_runs,fade_risk_team,both_scored_6plus,higher_conf_team_won_scoring,pattern_flagged
2026-07-02,San Diego Padres @ Los Angeles Dodgers,San Diego Padres,95.0,7,Los Angeles Dodgers,97.0,12,none,Y,Y,N
2026-07-03,Miami Marlins @ Athletics,Miami Marlins,80.0,12,Athletics,93.0,5,home,N,N,Y
2026-07-04,Tampa Bay Rays @ Houston Astros,Tampa Bay Rays,63.0,8,Houston Astros,27.0,10,none,Y,N,N
2026-07-06,Houston Astros @ Washington Nationals,Houston Astros,75.0,11,Washington Nationals,96.0,12,none,Y,Y,N
2026-07-06,New York Mets @ Atlanta Braves,New York Mets,82.0,7,Atlanta Braves,95.0,6,none,Y,N,N
2026-07-06,Colorado Rockies @ Los Angeles Dodgers,Colorado Rockies,78.0,7,Los Angeles Dodgers,95.0,8,none,Y,Y,N
2026-07-07,Kansas City Royals @ New York Mets,Kansas City Royals,70.0,16,New York Mets,82.0,12,none,Y,N,N
2026-07-08,Chicago Cubs @ Baltimore Orioles,Chicago Cubs,80.0,9,Baltimore Orioles,75.0,7,none,Y,Y,N
2026-07-09,Los Angeles Angels @ Texas Rangers,Los Angeles Angels,40.0,6,Texas Rangers,60.0,7,none,Y,Y,N
2026-07-11,Toronto Blue Jays @ San Diego Padres,Toronto Blue Jays,72.0,7,San Diego Padres,67.0,8,none,Y,N,N
2026-07-12,Colorado Rockies @ San Francisco Giants,Colorado Rockies,76.0,1,San Francisco Giants,90.0,3,home,N,Y,Y
