date,pitcher,pitcher_team,attack_conf,ITT,actual_runs_against,run_diff,pitcher_actual_er,pitcher_actual_ip
2026-06-27,Michael Wacha,Kansas City Royals,65.0,0.0,2,2.0,1,7.2
2026-06-27,Christian Scott,New York Mets,4.0,4.3,2,-2.3,2,4.1
2026-06-27,Ryan Gusto,Miami Marlins,0.0,4.7,1,-3.7,0,3.1
2026-07-07,Shane Baz,Baltimore Orioles,0.0,5.0,5,0.0,3,6.0
2026-07-08,Connor Prielipp,Minnesota Twins,56.0,4.1,5,0.9,3,5.0
2026-07-08,Jared Jones,Pittsburgh Pirates,17.0,4.8,3,-1.8,0,6.0
2026-07-09,Griffin Canning,San Diego Padres,0.0,4.2,3,-1.2,2,4.2
2026-07-17,Reid Detmers,Los Angeles Angels,34.0,4.4,2,-2.4,0,6.0
2026-07-17,Dean Kremer,Baltimore Orioles,48.0,4.4,2,-2.4,2,4.0
2026-07-18,Shane Drohan,Milwaukee Brewers,63.0,0.0,6,6.0,3,6.0
2026-07-18,Mackenzie Gore,Texas Rangers,34.0,0.0,6,6.0,5,5.2
2026-07-19,Cam Schlittler,New York Yankees,8.0,3.9,8,4.1,3,4.1
2026-07-19,Nathan Eovaldi,Texas Rangers,47.0,4.2,8,3.8,4,4.0
2026-07-19,Noah Cameron,Kansas City Royals,4.0,4.6,19,14.4,7,5.0
2026-07-19,Robert Gasser,Milwaukee Brewers,34.0,3.9,1,-2.9,1,5.0
2026-07-19,Tbd,New York Yankees,20.0,3.9,8,4.1,3,4.1
