date,team,attack_conf,ITT,divergence,ticket_pct,money_pct,actual_runs,run_diff,steam_correct
2026-07-01,Los Angeles Dodgers,92.0,5.95,0.0,0.0,0.0,1,-4.95,N
2026-07-02,Los Angeles Dodgers,97.0,5.95,0.0,90.0,86.0,12,6.05,Y
2026-07-03,Arizona Diamondbacks,73.0,4.1,0.0,0.0,0.0,4,-0.1,N
2026-07-04,Atlanta Braves,96.0,4.6,0.0,0.0,0.0,14,9.4,Y
2026-07-04,Miami Marlins,75.0,5.5,6.0,79.0,85.0,7,1.5,Y
2026-07-04,Los Angeles Dodgers,94.0,5.4,0.0,0.0,0.0,3,-2.4,N
2026-07-06,Los Angeles Dodgers,95.0,5.4,0.0,0.0,0.0,8,2.6,Y
2026-07-06,San Diego Padres,82.0,4.6,6.0,73.0,79.0,0,-4.6,N
2026-07-07,Los Angeles Dodgers,96.0,5.8,0.0,0.0,0.0,3,-2.8,N
2026-07-07,St. Louis Cardinals,82.0,3.8,5.0,11.0,16.0,3,-0.8,N
2026-07-08,Los Angeles Dodgers,96.0,5.85,0.0,0.0,0.0,4,-1.85,N
2026-07-08,Los Angeles Angels,57.0,3.7,4.0,18.0,22.0,13,9.3,Y
2026-07-17,Washington Nationals,95.0,5.6,21.0,61.0,82.0,23,17.4,Y
2026-07-17,Seattle Mariners,69.0,3.9,0.0,0.0,0.0,0,-3.9,N
2026-07-18,Seattle Mariners,63.0,3.9,7.0,69.0,76.0,4,0.1,Y
2026-07-19,Cincinnati Reds,95.0,5.95,-9.0,76.0,67.0,9,3.05,Y
2026-07-19,Seattle Mariners,66.0,4.1,1.0,80.0,81.0,6,1.9,Y
2026-07-19,Cleveland Guardians,44.0,3.5,-3.0,28.0,25.0,1,-2.5,N
2026-07-20,Milwaukee Brewers,82.0,4.5,-3.0,88.0,85.0,8,3.5,Y
2026-07-21,Los Angeles Dodgers,72.0,4.3,17.0,38.0,55.0,2,-2.3,N
2026-07-22,Chicago White Sox,79.0,4.3,8.0,48.0,56.0,4,-0.3,N
2026-07-24,Cincinnati Reds,87.0,3.7,1.0,17.0,18.0,4,0.3,Y
2026-07-26,Philadelphia Phillies,89.0,4.6,-9.0,79.0,70.0,11,6.4,Y
2026-07-28,Los Angeles Dodgers,94.0,5.4,0.0,0.0,0.0,6,0.6,Y
2026-07-28,Minnesota Twins,87.0,5.1,12.0,75.0,87.0,3,-2.1,N
2026-07-28,San Diego Padres,80.0,5.0,0.0,0.0,0.0,8,3.0,Y
2026-07-29,Los Angeles Dodgers,89.0,5.4,-4.0,88.0,84.0,4,-1.4,N
2026-07-29,Minnesota Twins,91.0,5.2,2.0,83.0,85.0,0,-5.2,N
2026-07-30,Boston Red Sox,94.0,5.6,0.0,0.0,0.0,5,-0.6,N
2026-07-30,San Diego Padres,95.0,4.5,-7.0,78.0,71.0,1,-3.5,N
2026-07-31,Athletics,81.0,4.9,0.0,0.0,0.0,1,-3.9,N
2026-07-31,Minnesota Twins,37.0,3.45,-2.0,13.0,11.0,5,1.55,Y
2026-08-01,Detroit Tigers,97.0,5.6,9.0,79.0,88.0,8,2.4,Y
2026-08-01,Los Angeles Dodgers,82.0,4.0,0.0,0.0,0.0,2,-2.0,N
2026-08-01,Milwaukee Brewers,96.0,4.7,0.0,0.0,0.0,3,-1.7,N
2026-08-02,Los Angeles Dodgers,82.0,4.9,-35.0,72.0,37.0,4,-0.9,N
2026-08-03,Tampa Bay Rays,75.0,6.05,0.0,0.0,0.0,13,6.95,Y
2026-08-03,Texas Rangers,90.0,4.1,-8.0,64.0,56.0,1,-3.1,N
2026-08-04,Tampa Bay Rays,73.0,5.7,0.0,0.0,0.0,9,3.3,Y
2026-08-07,Atlanta Braves,52.0,3.7,10.0,39.0,49.0,2,-1.7,N
2026-08-10,Arizona Diamondbacks,94.0,5.2,0.0,0.0,0.0,9,3.8,Y
2026-08-15,Texas Rangers,91.0,5.1,10.0,61.0,71.0,5,-0.1,N
2026-08-18,Kansas City Royals,74.0,4.9,0.0,0.0,0.0,4,-0.9,N
2026-08-19,Kansas City Royals,82.0,4.9,4.0,84.0,88.0,9,4.1,Y
2026-08-21,Toronto Blue Jays,44.0,3.33,3.0,20.0,23.0,1,-2.33,N
