date,team,attack_conf,ITT,divergence,actual_runs,run_diff,model_correct
2026-06-27,Baltimore Orioles,97.0,4.8,-9.0,3,-1.8,N
2026-07-01,Miami Marlins,95.0,5.85,0.0,3,-2.85,N
2026-07-02,Los Angeles Dodgers,97.0,5.95,0.0,12,6.05,Y
2026-07-03,Los Angeles Dodgers,97.0,5.0,0.0,4,-1.0,N
2026-07-04,Milwaukee Brewers,97.0,5.3,0.0,3,-2.3,N
2026-07-05,Los Angeles Dodgers,97.0,5.75,0.0,2,-3.75,N
2026-07-06,Arizona Diamondbacks,96.0,4.7,-6.0,8,3.3,Y
2026-07-07,Los Angeles Dodgers,96.0,5.8,0.0,3,-2.8,N
2026-07-08,Detroit Tigers,97.0,5.3,0.0,6,0.7,Y
2026-07-09,Milwaukee Brewers,97.0,4.5,6.0,8,3.5,Y
2026-07-10,Baltimore Orioles,97.0,5.7,0.0,5,-0.7,N
