date,pitcher,pitcher_team,trap_type,attack_conf,ITT,actual_runs_against,run_diff,pitcher_actual_er,pitcher_actual_ip
2026-06-27,Jack Perkins,Athletics,Short Leash,34.0,4.5,5,0.5,2,5.0
2026-06-27,Michael Lorenzen,Colorado Rockies,Short Leash,0.0,5.2,5,-0.2,2,5.2
2026-07-01,Trevor Mcdonald,San Francisco Giants,Short Leash,0.0,5.0,4,-1.0,0,6.0
2026-07-02,Randy Vásquez,San Diego Padres,Short Leash,0.0,5.95,12,6.05,4,3.0
2026-07-03,Jake Bennett,Boston Red Sox,Short Leash,39.0,3.9,2,-1.9,2,7.2
2026-07-03,Christian Scott,New York Mets,Short Leash,0.0,4.8,5,0.2,3,4.0
2026-07-03,Michael King,San Diego Padres,Short Leash,0.0,5.0,4,-1.0,2,6.0
2026-07-04,Brandon Woodruff,Milwaukee Brewers,Short Leash,0.0,4.4,4,-0.4,3,3.2
2026-07-04,Sean Manaea,New York Mets,Short Leash,0.0,4.6,14,9.4,6,5.0
2026-07-05,Eury Pérez,Miami Marlins,Short Leash,67.0,0.0,8,8.0,0,7.0
2026-07-05,Ryan Johnson,Los Angeles Angels,Short Leash,14.0,4.5,7,2.5,2,4.0
2026-07-06,Walker Buehler,San Diego Padres,Short Leash,0.0,4.7,8,3.3,7,5.0
2026-07-07,Hurston Waldrep,Atlanta Braves,Short Leash,0.0,5.0,12,7.0,7,3.1
2026-07-07,Joey Cantillo,Cleveland Guardians,Short Leash,38.0,4.5,3,-1.5,0,5.0
2026-07-07,Hunter Dobbins,St. Louis Cardinals,Short Leash,27.0,4.4,4,-0.4,0,1.0
2026-07-09,Carson Whisenhunt,San Francisco Giants,Short Leash,22.0,4.3,2,-2.3,2,5.2
2026-07-17,Logan Henderson,Milwaukee Brewers,Short Leash,35.0,3.7,1,-2.7,1,5.0
2026-07-17,Anthony Kay,Chicago White Sox,Short Leash,8.0,4.6,4,-0.6,2,4.0
2026-07-17,Roki Sasaki,Los Angeles Dodgers,Short Leash,0.0,4.5,1,-3.5,0,5.2
2026-07-18,Spencer Arrighetti,Houston Astros,Short Leash,28.0,0.0,4,4.0,1,5.0
2026-07-18,J.T. Ginn,Athletics,Short Leash,0.0,5.6,1,-4.6,0,6.1
2026-07-19,Eury Pérez,Miami Marlins,Short Leash,37.0,4.3,3,-1.3,0,6.0
2026-07-19,Shane Mcclanahan,Tampa Bay Rays,Short Leash,49.0,4.2,6,1.8,4,5.0
2026-07-19,Grant Holmes,Atlanta Braves,Short Leash,40.0,4.5,5,0.5,3,5.0
2026-07-19,Ryan Johnson,Los Angeles Angels,Short Leash,0.0,5.4,2,-3.4,1,5.0
2026-07-20,Jacob Misiorowski,Milwaukee Brewers,Short Leash,17.0,3.42,3,-0.42,0,4.0
2026-07-20,Kyle Leahy,St. Louis Cardinals,Short Leash,28.0,4.7,3,-1.7,1,6.0
2026-07-20,Janson Junk,Miami Marlins,Short Leash,4.0,4.9,8,3.1,6,4.0
2026-07-20,Bryce Elder,Atlanta Braves,Short Leash,0.0,4.5,2,-2.5,2,6.0
2026-07-20,Kyle Freeland,Colorado Rockies,Short Leash,0.0,5.8,7,1.2,4,6.0
2026-07-20,Freddy Peralta,New York Mets,Short Leash,0.0,4.5,8,3.5,7,5.1
2026-07-20,Jameson Taillon,Chicago Cubs,Short Leash,0.0,5.55,8,2.45,4,4.1
2026-07-20,Jeffrey Springs,Athletics,Short Leash,0.0,5.3,2,-3.3,2,5.0
