date,player,team,salary,batting_order,blended_rating,player_score,attack_conf,is_hot_run_msmi,is_anti_chalk_smash,is_cold_high_br_warning,is_cold_streak_msmi,platoon_label,is_strong_edge,actual_dk_pts,dk_pts_per_1k_salary,batting_order_tier,team_actual_runs
2026-07-23,Riley Greene,Detroit Tigers,3000,4,78.6,80.7,76.5206124852768,N,Y,N,N,NEUTRAL,N,3.0,1.0,1-4,4
2026-07-23,Gabriel Moreno,Arizona Diamondbacks,3900,3,83.7,77.0,90.42788461538461,Y,N,N,N,NEUTRAL,N,17.0,4.36,1-4,0
2026-07-23,Kevin Mcgonigle,Detroit Tigers,3000,1,80.5,76.4,84.53144266337854,N,Y,N,N,ELITE PLATOON,N,3.0,1.0,1-4,4
2026-07-23,Alec Burleson,St. Louis Cardinals,4500,3,72.3,64.4,80.1039603960396,N,N,N,N,STRONG EDGE,Y,15.0,3.33,1-4,0
2026-07-23,Dillon Dingler,Detroit Tigers,3000,5,76.2,61.1,91.20092378752886,N,Y,N,N,ELITE PLATOON,N,14.0,4.67,5-6,4
2026-07-23,Gleyber Torres,Detroit Tigers,3000,2,64.1,60.1,68.09823677581863,N,Y,N,N,NEUTRAL,N,2.0,0.67,1-4,4
2026-07-23,Jordan Walker,St. Louis Cardinals,5200,2,60.2,59.7,60.614236509758896,N,N,N,N,NEUTRAL,N,12.0,2.31,1-4,0
2026-07-23,Corbin Carroll,Arizona Diamondbacks,5500,1,61.6,57.8,65.311004784689,N,N,N,N,PLATOON TRAP,N,11.0,2.0,1-4,0
2026-07-23,Lars Nootbaar,St. Louis Cardinals,3900,4,56.7,56.8,56.5872801082544,N,N,N,Y,NEUTRAL,N,12.0,3.08,1-4,0
2026-07-23,Vinnie Pasquantino,Kansas City Royals,4100,3,71.8,56.0,87.63363363363364,Y,N,N,N,PLATOON TRAP,N,8.0,1.95,1-4,3
2026-07-23,Jj Wetherholt,St. Louis Cardinals,4700,1,63.3,54.6,71.99070385126161,N,N,N,N,NEUTRAL,N,10.0,2.13,1-4,0
2026-07-23,Lane Thomas,Kansas City Royals,3300,2,54.7,49.4,59.973118279569896,N,N,N,N,NEUTRAL,N,2.0,0.61,1-4,3
2026-07-23,Jimmy Crooks,St. Louis Cardinals,2400,9,54.0,44.3,63.61716171617162,Y,N,N,N,PLATOON TRAP,N,3.0,1.25,7+,0
2026-07-23,Colt Keith,Detroit Tigers,3000,3,49.1,44.0,54.119013062409294,N,Y,N,N,NEUTRAL,N,0.0,0.0,1-4,4
2026-07-23,Isaac Collins,Kansas City Royals,2700,6,46.3,44.0,48.52272727272727,N,N,N,N,NEUTRAL,N,17.5,6.48,5-6,3
2026-07-23,Spencer Torkelson,Detroit Tigers,3000,7,49.5,40.5,58.43406593406593,Y,Y,N,N,NEUTRAL,N,-1.5,-0.5,7+,4
2026-07-23,Geraldo Perdomo,Arizona Diamondbacks,3800,2,46.7,39.5,53.81019830028329,N,N,N,N,NEUTRAL,N,6.0,1.58,1-4,0
2026-07-23,Tyler Locklear,Arizona Diamondbacks,2000,8,37.5,37.9,37.0,N,N,N,N,NEUTRAL,N,27.5,13.75,7+,0
2026-07-23,Nick Loftin,Kansas City Royals,2900,8,31.0,35.3,26.793103448275865,N,N,N,Y,NEUTRAL,N,2.5,0.86,7+,3
2026-07-23,Max Kepler,Arizona Diamondbacks,2500,4,52.8,34.7,70.94845360824742,Y,N,N,N,NEUTRAL,N,4.0,1.6,1-4,0
2026-07-23,Salvador Perez,Kansas City Royals,3500,4,44.5,34.0,55.0,N,N,N,N,NEUTRAL,N,1.5,0.43,1-4,3
2026-07-23,Tim Tawa,Arizona Diamondbacks,2500,6,37.9,33.4,42.499265785609396,N,N,N,N,STRONG EDGE,Y,8.5,3.4,5-6,0
2026-07-23,Michael Massey,Kansas City Royals,3500,5,42.9,32.7,53.08321964529331,N,N,N,N,PLATOON TRAP,N,7.0,2.0,5-6,3
2026-07-23,Kerry Carpenter,Detroit Tigers,3000,6,26.2,29.5,23.0,N,Y,N,N,STRONG EDGE,Y,5.0,1.67,5-6,4
2026-07-23,Josh Rojas,Kansas City Royals,2100,7,34.4,28.9,39.946107784431135,N,N,N,N,NEUTRAL,N,10.0,4.76,7+,3
2026-07-23,Blaze Jordan,St. Louis Cardinals,3200,8,33.1,27.6,38.55088852988692,N,N,N,N,NEUTRAL,N,0.0,0.0,7+,0
2026-07-23,Andrew Velazquez,Kansas City Royals,3000,9,30.8,27.5,34.0,N,N,N,N,NEUTRAL,N,-0.5,-0.17,7+,3
2026-07-23,Masyn Winn,St. Louis Cardinals,3500,5,31.2,24.6,37.824175824175825,N,N,N,N,PLATOON TRAP,N,2.0,0.57,5-6,0
2026-07-23,Ryan Waldschmidt,Arizona Diamondbacks,2700,9,25.8,22.2,29.460269865067467,N,N,N,N,NEUTRAL,N,-0.5,-0.19,7+,0
2026-07-23,Carter Jensen,Kansas City Royals,4200,1,37.7,21.1,54.37837837837838,Y,N,N,N,PLATOON TRAP,N,6.5,1.55,1-4,3
2026-07-23,James Outman,Detroit Tigers,3000,9,17.9,19.4,16.378818737270876,N,Y,N,N,NEUTRAL,N,17.5,5.83,7+,4
2026-07-23,Nathan Church,St. Louis Cardinals,2900,7,21.3,19.2,23.369426751592357,N,N,N,N,NEUTRAL,N,4.5,1.55,7+,0
